TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1469130801,"North Station","291","Reading",1469130600,480,"4","Now Boarding"
1469130801,"North Station","493","Littleton / Rte 495",1469131140,0,,"On Time"
1469130801,"North Station","327","Lowell",1469131800,0,,"On Time"
1469130801,"North Station","115","Rockport",1469132100,0,,"On Time"
1469130801,"North Station","393","Anderson/ Woburn",1469132400,0,,"On Time"
1469130801,"North Station","417","Fitchburg",1469133000,0,,"On Time"
1469130801,"North Station","167","Newburyport",1469133000,0,,"On Time"
1469130801,"North Station","213","Haverhill",1469133000,0,,"On Time"
1469130801,"North Station","193","Beverly",1469133600,0,,"On Time"
1469130801,"North Station","329","Lowell",1469133900,0,,"On Time"
1469130801,"North Station","293","Reading",1469134080,0,,"On Time"
1469130801,"North Station","419","Fitchburg",1469134800,0,,"On Time"
1469130801,"North Station","117","Rockport",1469134800,0,,"On Time"
1469130801,"North Station","331","Lowell",1469135400,0,,"On Time"
1469130801,"North Station","215","Haverhill",1469135700,0,,"On Time"
1469130801,"North Station","169","Newburyport",1469135700,0,,"On Time"
1469130801,"North Station","119","Rockport",1469136600,0,,"On Time"
1469130801,"North Station","421","Fitchburg",1469136900,0,,"On Time"
1469130801,"North Station","333","Lowell",1469136900,0,,"On Time"
1469130801,"South Station","819","Providence",1469130900,0,"5","Now Boarding"
1469130801,"South Station","081","Greenbush",1469131320,0,"12","Now Boarding"
1469130801,"South Station","615","Needham Heights",1469131500,0,,"On Time"
1469130801,"South Station","743","Norwood Central",1469132100,0,,"On Time"
1469130801,"South Station","773","Readville",1469132100,0,,"On Time"
1469130801,"South Station","043","Kingston",1469132400,0,,"On Time"
1469130801,"South Station","915","Stoughton",1469132400,0,,"On Time"
1469130801,"South Station","519","Worcester / Union Station",1469132700,0,,"On Time"
1469130801,"South Station","821","Wickford Junction",1469133000,0,,"On Time"
1469130801,"South Station","591","Framingham",1469133300,0,,"On Time"
1469130801,"South Station","019","Middleboro/ Lakeville",1469133600,0,,"On Time"
1469130801,"South Station","717","Forge Park / 495",1469133900,0,,"On Time"
1469130801,"South Station","617","Needham Heights",1469133900,0,,"On Time"
1469130801,"South Station","083","Greenbush",1469134320,0,,"On Time"
1469130801,"South Station","823","Providence",1469134500,0,,"On Time"
1469130801,"South Station","775","Readville",1469134800,0,,"On Time"
1469130801,"South Station","045","Kingston",1469134800,0,,"On Time"
1469130801,"South Station","745","Walpole",1469134980,0,,"On Time"
1469130801,"South Station","521","Worcester / Union Station",1469135100,0,,"On Time"
